word,frequency,documents
own,7,15 30 33 37 39 51 64
comes,5,15 26 39 62 63
once,4,15 27 57 62
lifetime,1,15
souls,1,15
escaping,2,15 23
hole,1,15
gaping,1,15
taking,6,15 20 35 42 44 49
king,2,15 42
toward,1,15
order,1,15
boring,1,15
superstardoms,1,15
post,1,15
mortem,1,15
grows,1,15
harder,1,15
homie,1,15
hotter,1,15
blows,2,15 50
hoes,1,15
coast,1,15
shows,1,15
globetrotter,1,15
roads,2,15 49
god,1,15
grown,2,15 42
farther,1,15
father,1,15
barely,1,15
daughter,1,15
nose,2,15 51
cold,7,15 23 27 33 45 54 64
water,1,15
moved,1,15
next,2,15 46
schmoe,1,15
flows,1,15
dove,1,15
sold,1,15
nada,1,15
soap,1,15
opera,2,15 50
unfolds,1,15
suppose,1,15
old,3,15 46 58
partner,1,15
da,1,15
dum,1,15
games,1,15
call,4,15 25 30 64
rage,1,15
tear,2,15 41
motherfucking,2,15 42
roof,3,15 17 45
dogs,1,15
caged,1,15
playing,3,15 36 49
beginning,1,15
mood,2,15 48
changed,2,15 42
chewed,1,15
spit,2,15 50
booed,1,15
stage,2,15 26
kept,2,15 42
rhyming,1,15
stepped,1,15
cypher,1,15
somebodys,1,15
paying,2,15 49
pied,1,15
piper,1,15
pain,2,15 61
amplified,1,15
fact,1,15
9to5,1,15
provide,1,15
type,2,15 51
family,2,15 50
goddamn,1,15
food,2,15 52
stamps,1,15
diapers,1,15
movie,1,15
mekhi,1,15
phifer,1,15
getting,6,15 23 25 26 45 63
trying,5,15 38 41 45 47
seed,1,15
plus,3,15 40 42
teeter,1,15
totter,1,15
being,1,15
prima,1,15
donna,1,15
mama,6,15 30 36 49 50 51
dramas,1,15
much,8,15 21 30 40 41 42 52 64
spot,2,15 33
monotony,1,15
gotten,1,15
point,1,15
snail,1,15
formulate,1,15
plot,1,15
jail,1,15
success,1,15
option,1,15
failures,1,15
mom,1,15
trailers,1,15
cannot,4,15 26 37 39
grow,3,15 30 43
salems,1,15
lot,3,15 42 57
fail,2,15 37
set,3,15 40 44
rolling,1,16
deep,5,16 31 39 42 55
adele,1,16
soul/pop,2,16 55
21,1,16
fire,6,16 21 31 42 44 62
starting,3,16 27 37
reaching,1,16
pitch,1,16
bringing,2,16 36
crystal,1,16
clear,3,16 36 55
ahead,3,16 36 42
sell,2,16 52
lay,2,16 55
ship,2,16 63
bare,1,16
leave,13,16 33 38 39 40 41 43 48 49 50 54 55 61
underestimate,1,16
scars,1,16
remind,1,16
thinking,2,16 25
almost,3,16 23 30
breathless,1,16
fall,3,16 21 51
played,2,16 26
story,1,16
heard,2,16 42
depths,1,16
despair,1,16
sure,3,16 25 53
shared,1,16
throw,1,16
soul,8,16 23 43 44 51 54 56 60
door,4,16 23 52 56
blessings,1,16
find,5,16 29 30 43 53
sorrow,1,16
treasured,1,16
kind,6,16 20 38 44 48 63
reap,1,16
sown,1,16
pharrell,1,17
williams,1,17
pop/soul,1,17
g,1,17
r,1,17
l,1,17
might,5,17 18 40 45 51
break,8,17 21 26 30 33 42 52 60
air,6,17 23 42 45 53 60
balloon,1,17
care,2,17 56
clap,1,17
room,2,17 60
happiness,2,17 20
news,1,17
talking,4,17 21 40 63
should,5,17 20 28 40 52
probably,2,17 40
warn,1,17
offense,1,17
waste,2,17 40
heres,1,17
bring,4,17 29 42 49
levels,1,17
justice,1,18
2018,2,18 40
electro,1,18
1,1,18
2,2,18 37
3,1,18
4,1,18
fight,5,18 23 24 54 57
ignite,2,18 39
pyt,1,18
catching,1,18
lights,5,18 29 42 60 64
abc,1,18
mystery,1,18
spotlight,1,18
neither,1,18
black,2,18 45
nor,1,18
working,2,18 57
whatever,5,18 29 43 56 62
happens,2,18 43
lord,2,19 62
huron,1,19
2015,1,19
indie,2,19 35
folk,1,19
strange,1,19
trails,1,19
traveler,1,19
repaid,1,19
debt,1,19
searching,3,19 47 53
trail,1,19
follow,2,19 53
supposed,2,19 36
ride,4,19 33 40 49
most,2,19 40
none,1,19
haunted,3,19 21 61
ghost,2,19 21
full,1,19
terrors,1,19
filled,1,19
touched,1,19
yet,1,19
whitney,1,20
houston,1,20
1992,2,20 56
bodyguard,1,20
step,3,20 48 52
darling,3,20 23 55
mm,1,20
bittersweet,1,20
goodbye,3,20 26 50
cry,4,20 50 56 58
both,2,20 51
treats,1,20
dreamed,1,20
joy,1,20
titanium,1,21
david,1,21
guetta,1,21
sia,1,21
2011,1,21
electropop,2,21 51
shout,1,21
hear,6,21 23 31 39 42 48
word,3,21 29 48
saying,1,21
criticize,1,21
bullets,1,21
ricochet,1,21
shoot,2,21 39
bulletproof,1,21
aim,1,21
cut,3,21 27 40
wholl,1,21
further,1,21
raise,3,21 34 36
voice,2,21 30
bones,2,21 60
stone,1,21
machine,2,21 46
gun,3,21 34 50
firing,1,21
ones,3,21 23 64
loves,3,21 26 50
glass,1,21
calvin,1,22
harris,1,22
dancepop,1,22
heartbeats,1,22
sound,3,22 23 52
fell,2,22 42
leaves,1,22
turned,2,22 54
brown,2,22 58
skies,3,22 50 54
blue,1,22
act,2,22 54
innocent,2,22 63
lied,1,22
soon,4,22 43 45 60
thriller,1,23
midnight,1,23
evils,1,23
lurkin,1,23
moonlight,1,23
sight,1,23
scream,1,23
terror,1,23
takes,3,23 30 35
freeze,1,23
horror,2,23 59
paralyzed,1,23
strike,2,23 57
fighting,2,23 37
killer,1,23
slam,1,23
realize,1,23
left,6,23 37 40 42 44 54
imagination,2,23 53
while,5,23 27 35 40 47
creature,1,23
creepin,3,23 51 60
behind,5,23 26 27 43 50
second,2,23 41
against,2,23 50
thing,7,23 30 39 47 48 52 61
forty,1,23
creatures,1,23
dead,2,23 50
their,2,23 26
masquerade,2,23 26
jaws,1,23
alien,1,23
theyre,3,23 35 47
wide,1,23
demons,1,23
closing,1,23
possess,1,23
unless,1,23
number,1,23
dial,1,23
cuddle,2,23 54
screen,1,23
thrill,2,23 24
ghoul,1,23
dare,2,23 54
tight,4,23 30 51 54
diller,1,23
chiller,1,23
falls,2,23 47
across,3,23 39 42
land,4,23 40 45 49
hour,2,23 55
crawl,1,23
search,1,23
blood,4,23 27 60 63
terrorize,1,23
yalls,1,23
neighborhood,1,23
whosoever,1,23
shall,1,23
must,4,23 24 30 43
face,9,23 24 25 34 42 43 47 50 61
hounds,1,23
rot,1,23
corpses,1,23
shell,4,23 38 51 63
babe,1,23
foulest,1,23
stench,1,23
thousand,1,23
years,1,23
grisly,1,23
ghouls,1,23
tomb,1,23
seal,1,23
doom,1,23
though,3,23 42 52
starts,2,23 54
shiver,1,23
mere,1,23
mortal,1,23
resist,1,23
evil,1,23
tiger,1,24
survivor,2,24 27
risin,1,24
street,2,24 41
chances,1,24
went,1,24
survive,1,24
happened,2,24 41
fast,1,24
trade,1,24
passion,3,24 44 59
glory,2,24 45
grip,1,24
past,2,24 52
challenge,1,24
rival,1,24
stalks,1,24
prey,1,24
fortune,1,24
hangin,2,24 30
tough,4,24 51 57 63
hungry,2,24 40
odds,1,24
skill,1,24
straight,2,24 33
guts,1,24
attention,1,25
charlie,1,25
puth,1,25
voicenotes,1,25
whoaoh,2,25 57
hmm,1,25
running,7,25 42 45 56 57 62 64
round,3,25 43 48
throwing,2,25 40
dirt,2,25 40
name,6,25 33 40 42 46 48
id,5,25 47 49 50 58
la,3,25 32 37
karma,1,25
perfume,1,25
regret,2,25 38
upon,2,25 57
expect,1,25
hate,2,25 52
thought,3,25 52 61
someone,5,25 30 41 45 61
making,1,25
standing,2,25 27
won,1,25
doing,6,25 35 37 40 42 56
madonna,1,26
1994,1,26
bedtime,1,26
stories,1,26
light,4,26 27 39 64
curtains,1,26
mean,4,26 50 51 52
watching,1,26
guess,6,26 29 42 43 51 55
granted,1,26
bye,1,26
laugh,2,26 47
breaking,2,26 43
smile,4,26 29 43 47
clown,2,26 27
deserve,1,26
award,1,26
role,2,26 51
which,1,26
storyd,1,26
elton,1,27
zero,1,27
winter,1,27
freezes,1,27
ice,2,27 33
shines,1,27
wind,3,27 39 50
wreck,1,27
mask,1,27
fool,3,27 42 54
taste,2,27 29
simple,1,27
fade,1,27
kid,1,27
after,5,27 34 39 52 64
picking,1,27
pieces,1,27
road,3,27 39 64
leaving,1,27
threats,1,27
circus,1,27
gig,1,28
pink,2,28 45
floyd,1,28
1973,1,28
progressive,1,28
moon,3,28 39 48
frightened,1,28
dying,1,28
reason,5,28 39 48 49 60
sometime,1,28
smells,1,29
teen,1,29
spirit,1,29
nirvana,1,29
1991,2,29 43
grunge,1,29
nevermind,1,29
load,1,29
guns,2,29 62
friends,5,29 42 43 49 59
fun,2,29 34
pretend,1,29
overbored,1,29
selfassured,1,29
dirty,1,29
hello,1,29
less,2,29 61
dangerous,1,29
entertain,1,29
stupid,1,29
contagious,1,29
mulatto,1,29
albino,1,29
mosquito,1,29
libido,1,29
yay,1,29
worse,1,29
gift,1,29
blessed,1,29
group,1,29
denial,1,29
hurry,1,30
supremes,1,30
1966,2,30 61
gogo,2,30 54
ease,1,30
she,9,30 36 37 38 47 51 56 57 63
trust,2,30 64
heartaches,1,30
strength,1,30
remember,2,30 45
loneliness,1,30
bear,1,30
impatient,1,30
precious,1,30
waiting,1,30
anticipating,1,30
soft,2,30 48
tender,1,30
backstreet,2,31 63
boys,5,31 36 42 52 63
1999,3,31 42 48
millennium,1,31
desire,2,31 44
reach,2,31 52
nothin,3,31 52 60
heartache,2,31 43
mistake,1,31
weve,3,31 45 57
fallen,1,31
despacito,1,32
luis,1,32
fonsi,1,32
&,4,32 38 46 47
daddy,1,32
yankee,1,32
reggaeton,1,32
vida,1,32
dy,1,32
diridiridiriridi,1,32
sí,2,32 37
sabes,1,32
que,1,32
llevo,1,32
un,1,32
rato,1,32
mirándote,1,32
tengo,1,32
bailar,1,32
contigo,1,32
hoy,1,32
vi,1,32
tu,1,32
mirada,1,32
estaba,1,32
llamándome,1,32
muéstrame,1,32
el,1,32
camino,1,32
voy,1,32
tú,1,32
eres,1,32
imán,1,32
y,1,32
soy,1,32
metal,2,32 62
acercando,1,32
armando,1,32
plan,4,32 37 40 55
solo,2,32 54
con,1,32
pensarlo,1,32
se,2,32 37
acelera,1,32
pulso,1,32
estás,1,32
gustando,1,32
más,1,32
de,2,32 37
lo,1,32
todos,1,32
mis,1,32
sentidos,1,32
van,1,32
pidiendo,1,32
esto,1,32
hay,1,32
tomarlo,1,32
sin,2,32 64
ningún,1,32
apuro,1,32
quiero,1,32
respirar,1,32
cuello,1,32
deja,1,32
te,1,32
diga,1,32
cosas,1,32
al,1,32
oído,1,32
para,1,32
acuerdes,1,32
si,1,32
conmigo,1,32
desnudarte,1,32
besos,1,32
firmar,1,32
las,1,32
paredes,1,32
laberinto,1,32
hacer,1,32
cuerpo,1,32
todo,1,32
manuscrito,1,32
sube,1,32
ver,1,32
pelo,1,32
ser,1,32
ritmo,1,32
le,1,32
enseñes,1,32
mi,2,32 37
boca,1,32
tus,1,32
lugares,1,32
favoritos,1,32
déjame,1,32
sobrepasar,1,32
zonas,1,32
peligro,1,32
hasta,1,32
provocar,1,32
gritos,1,32
olvides,1,32
apellido,1,32
pido,1,32
beso,1,32
ven,1,32
dámelo,1,32
sé,1,32
pensándolo,1,32
tiempo,1,32
intentándolo,1,32
mami,1,32
es,2,32 37
dando,1,32
dándolo,1,32
corazón,1,32
hace,1,32
bambam,1,32
esa,1,32
beba,1,32
está,1,32
buscando,1,32
prueba,1,32
cómo,1,32
sabe,1,32
cuánto,1,32
amor,1,32
ti,1,32
cabe,1,32
prisa,1,32
dar,1,32
viaje,1,32
empezamos,1,32
lento,1,32
después,1,32
salvaje,1,32
pasito,1,32
suave,1,32
suavecito,1,32
nos,1,32
vamos,1,32
pegando,1,32
poquito,1,32
cuando,1,32
besas,1,32
destreza,1,32
veo,1,32
malicia,1,32
delicadeza,1,32
belleza,1,32
rompecabezas,1,32
pero,1,32
pa,1,32
montarlo,1,32
aquí,1,32
pieza,1,32
oye,1,32
vamo,1,32
hacerlo,1,32
en,2,32 37
una,1,32
playa,1,32
puerto,1,32
rico,1,32
olas,1,32
griten,1,32
¡ay,1,32
bendito,1,32
sello,1,32
quede,1,32
báilalo,1,32
uptown,2,33 63
mark,1,33
ronson,1,33
featuring,1,33
bruno,2,33 47
mars,2,33 47
/,2,33 64
special,2,33 56
michelle,1,33
pfeiffer,1,33
hood,2,33 42
girls,1,33
masterpieces,1,33
stylin,1,33
wilin,1,33
chucks,1,33
saint,1,33
laurent,1,33
called,1,33
police,2,33 42
fireman,1,33
dragon,1,33
retire,1,33
band,2,33 49
hallelujah,1,33
woo,2,33 60
watch,2,33 37
cup,1,33
liquor,1,33
sip,1,33
check,3,33 34 42
julio,1,33
stretch,1,33
harlem,2,33 48
hollywood,1,33
mississippi,1,33
smoother,1,33
fresh,1,33
jar,1,33
skippy,1,33
bitch,4,33 42 45 59
lemme,1,33
yall,4,33 36 42 52
lil,1,33
jump,1,33
sexy,3,33 37 47
flaunt,1,33
freaky,1,33
brag,1,33
poker,1,34
lady,3,34 54 59
gaga,2,34 59
2008,1,34
fame,2,34 59
mummummummah,1,34
texas,1,34
fold,1,34
intuition,1,34
play,4,34 38 42 51
spades,1,34
hooked,1,34
woahoh,2,34 57
ohohohohohoh,1,34
popopopoker,1,34
fufufuck,1,34
roll,2,34 46
pair,1,34
gambling,1,34
russian,1,34
roulette,1,34
same,6,34 45 46 47 48 54
rough,2,34 51
hug,1,34
bluffin,1,34
muffin,1,34
lyin,1,34
stunnin,1,34
loveglue,1,34
gunnin,1,34
chick,1,34
casino,1,34
marvelous,1,34
mr,1,35
brightside,1,35
killers,1,35
2003,1,35
fuss,1,35
cage,1,35
started,1,35
falling,1,35
asleep,2,35 51
calling,1,35
cab,1,35
having,1,35
drag,1,35
stomach,1,35
sick,2,35 59
chest,2,35 51
killing,1,35
jealousy,1,35
turning,4,35 40 43 48
saints,1,35
sea,1,35
swimming,3,35 40 45
lullabies,1,35
alibis,1,35
price,1,35
destiny,2,35 53
eager,1,35
bass,2,36 42
meghan,1,36
trainor,1,36
title,1,36
treble,1,36
size,1,36
shake,1,36
boom,2,36 39
chase,1,36
junk,1,36
places,2,36 43
photoshop,1,36
shit,4,36 40 42 52
cmon,1,36
inch,1,36
bottom,1,36
shoowopwop,1,36
shaoohwopwop,1,36
booty,1,36
stickfigure,1,36
silicone,1,36
barbie,1,36
doll,1,36
whats,4,36 40 52 61
skinny,1,36
nah,1,36
fat,2,36 52
ayy,1,36
haha,1,36
hips,1,37
don’t,1,37
lie,1,37
shakira,1,37
wyclef,1,37
jean,1,37
2006,1,37
reggaeton/pop,1,37
oral,1,37
fixation,1,37
vol,1,37
ladies,2,37 42
refugees,1,37
speak,1,37
spanish,2,37 48
¿cómo,1,37
llama,1,37
bonita,1,37
casa,1,37
su,1,37
woman,1,37
wise,1,37
reading,1,37
signs,2,37 49
uno,1,37
dos,1,37
tres,1,37
cuatro,1,37
attraction,1,37
tension,1,37
perfection,1,37
moving,1,37
driving,2,37 42
slightest,1,37
idea,1,37
saw,3,37 46 61
dancing,2,37 54
floor,1,37
ignore,1,37
everythings,1,37
unexpected,1,37
shaking,1,37
así,1,37
perfecto,1,37
half,2,37 57
animal,2,37 51
selfrestraint,1,37
bit,2,37 53
explain,1,37
baila,1,37
calle,1,37
noche,1,37
día,1,37
hypnotized,1,37
señorita,1,37
conga,1,37
colombia,1,37
mira,1,37
barranquilla,1,37
mans,2,37 52
fantasy,3,37 44 50
refugee,1,37
fugees,2,37 52
third,1,37
country,1,37
pac,1,37
carried,1,37
crates,2,37 45
humpty,1,37
hump,1,37
lead,1,37
club,1,37
jazzy,1,37
cia,1,37
colombians,1,37
haitians,1,37
guilty,1,37
musical,1,37
transaction,1,37
booboopsoboop,1,37
snatch,1,37
boats,1,37
lover,1,38
philip,1,38
bailey,1,38
phil,1,38
collins,1,38
1984,2,38 54
pop/rock,2,38 63
chinese,1,38
wall,1,38
keeping,1,38
deceive,1,38
quick,1,38
seeing,1,38
believing,1,38
wants,2,38 63
til,5,38 40 42 46 54
finds,1,38
firework,1,39
plastic,1,39
bag,1,39
drifting,1,39
wanting,2,39 51
paperthin,1,39
house,1,39
caving,1,39
buried,1,39
six,2,39 52
screams,1,39
seems,2,39 61
spark,2,39 54
fourth,1,39
july,1,39
colors,1,39
burst,1,39
awe,1,39
wasted,1,39
original,1,39
replaced,1,39
future,1,39
holds,1,39
hurricane,3,39 40 45
rainbow,1,39
doors,1,39
closed,1,39
leads,1,39
lightning,3,39 50 62
bolt,1,39
glow,1,39
brighter,2,39 54
mac,1,40
miller,1,40
hiphop,3,40 42 52
freaks,1,40
fuck,3,40 42 52
superficial,1,40
sentimental,1,40
juice,1,40
colder,1,40
breeze,1,40
flowing,1,40
motherfucker,1,40
truly,1,40
beyond,1,40
drugs,1,40
shuttle,1,40
elon,1,40
sing,3,40 51 60
céline,1,40
dion,1,40
catch,1,40
lotta,1,40
exit,1,40
jet,1,40
ticking,1,40
highly,1,40
different,1,40
pilot,1,40
tripping,2,40 42
witness,1,40
imma,1,40
came,2,40 52
worked,1,40
clue,1,40
bar,2,40 52
par,1,40
parlay,1,40
crib,1,40
range,1,40
yard,1,40
pray,2,40 52
cuz,1,40
spending,1,40
wasnt,1,40
homies,1,40
worried,1,40
brain,2,40 54
heads,1,40
swerving,1,40
outta,3,40 50 54
shade,2,40 45
picture,2,40 53
frame,1,40
30,1,40
thou,1,40
spend,2,40 42
till,1,40
5,1,41
diana,1,41
ross,1,41
presents,2,41 63
luhhuh,1,41
huhhh,1,41
mmhhmmm,1,41
faces,1,41
picked,1,41
bunch,1,41
glance,1,41
darlin,1,41
blind,1,41
na,1,41
sleepless,1,41
stains,1,41
ground,3,41 45 52
following,1,41
spare,2,41 50
hah,1,41
dre,1,42
dr,1,42
snoop,1,42
dogg,1,42
2001,2,42 52
nigga,2,42 52
fuckin,3,42 52 56
waters,1,42
99,1,42
whos,1,42
andre,1,42
sho,1,42
ak,1,42
frequent,1,42
spots,1,42
truck,1,42
block,1,42
homage,1,42
haters,1,42
album,1,42
chronic,1,42
raps,1,42
thangs,1,42
puffing,1,42
leafs,1,42
beats,2,42 54
loving,1,42
khakis,1,42
cuff,1,42
crease,1,42
fo,1,42
repping,1,42
213,1,42
bang,1,42
thang,1,42
representing,1,42
gangstas,1,42
hitting,1,42
corners,1,42
lowlows,1,42
dipping,1,42
ear,1,42
signed,1,42
triple,1,42
platinum,1,42
week,1,42
defeat,1,42
rose,1,42
treat,1,42
weed,1,42
compose,1,42
soaking,1,42
seat,1,42
fluke,1,42
class,1,42
wreckin,1,42
cru,1,42
aftermathematics,1,42
drivebys,1,42
akmatics,1,42
swap,1,42
meets,1,42
sticky,1,42
green,1,42
traffic,1,42
dip,1,42
skin,3,42 45 56
classic,1,42
cd,1,42
vibe,1,42
cooling,1,42
corner,2,42 43
laid,1,42
shack,1,42
track,1,42
neck,1,42
near,1,42
lap,1,42
niggas,1,42
ace,1,42
wrapped,1,42
mummy,1,42
blacks,1,42
jobs,1,42
barbeques,1,42
regardless,1,42
ass,1,42
95,1,42
four,2,42 52
pennies,1,42
add,1,42
dog,1,42
stress,1,42
seeds,1,42
stems,1,42
icky,1,42
oooh,2,42 62
wee,1,42
yous,1,42
queen,2,43 50
innuendo,1,43
empty,2,43 64
spaces,1,43
abandoned,1,43
score,1,43
does,1,43
anybody,1,43
hero,1,43
mindless,1,43
curtain,1,43
pantomime,1,43
anymore,1,43
flaking,1,43
stays,1,43
failed,1,43
romance,2,43 59
learning,1,43
warmer,1,43
outside,1,43
dawn,1,43
aching,2,43 50
free,3,43 49 59
painted,1,43
butterflies,1,43
fairy,2,43 61
tales,2,43 61
yesterday,1,43
grin,1,43
giving,1,43
bill,1,43
overkill,1,43
carry,2,43 50
heartbreaker,1,44
pat,1,44
benatar,1,44
1979,2,44 49
crimes,1,44
tidal,1,44
spinning,1,44
drownin,1,44
promises,1,44
unsaid,1,44
sinner,1,44
release,1,44
inner,1,44
invincible,1,44
winner,1,44
maker,1,44
taker,1,44
mess,2,44 49
taught,1,44
ways,1,44
toll,1,44
+,1,45
frank,1,45
ocean,2,45 48
2016,2,45 60
blonde,1,45
everyday,3,45 47 52
yellow,1,45
showed,1,45
nod,1,45
halfway,1,45
south,1,45
norths,1,45
cool,2,45 48
ruin,1,45
regard,1,45
dear,1,45
downhill,1,45
nosedive,1,45
flood,1,45
tall,1,45
tower,1,45
milk,1,45
cannonball,1,45
porch,2,45 52
kids,1,45
pool,1,45
kneel,1,45
dry,1,45
earth,1,45
birthed,1,45
gave,2,45 61
tools,1,45
ruined,2,45 49
climb,1,45
trees,1,45
ends,1,45
matthew,1,45
shoob,1,45
danny,1,45
immortality,1,45
bending,1,45
nikes,1,45
melpomene,1,45
nicotine,1,45
stealing,1,45
granny,1,45
cigs,1,45
gimme,2,45 48
n,1,46
joan,1,46
jett,1,46
blackhearts,1,46
1981,1,46
record,1,46
mustve,1,46
17,1,46
favorite,1,46
song,2,46 51
wouldnt,1,46
singin,1,46
dime,1,46
jukebox,1,46
smiled,1,46
asked,1,46
pop/r&b,1,47
doowops,1,47
hooligans,1,47
stars,1,47
shinin,1,47
hair,1,47
perfectly,1,47
compliment,1,47
sad,2,47 51
asks,1,47
amazing,1,47
stares,1,47
lips,1,47
shed,1,47
hates,1,47
perfects,1,47
bother,1,47
asking,2,47 49
smooth,1,48
santana,1,48
rob,1,48
thomas,1,48
rock/latin,1,48
supernatural,1,48
inches,1,48
midday,1,48
whisper,1,48
melt,1,48
muñequita,1,48
mona,1,48
lisa,1,48
lift,1,48
suit,1,48
emotion,1,48
lovin,2,48 54
crying,1,48
shame,1,48
breath,1,48
barrio,1,48
rhythm,1,48
radio,1,48
don,1,48
ahh,1,48
ohh,3,48 52 58
highway,2,49 62
ac/dc,1,49
season,1,49
oneway,1,49
stride,1,49
rhyme,1,49
rather,1,49
speed,1,49
limit,1,49
wheel,2,49 62
spin,1,49
satan,1,49
dues,1,49
rocking,1,49
promised,1,49
bohemian,1,50
1975,1,50
rock/opera,1,50
landside,1,50
escape,1,50
poor,1,50
sympathy,1,50
killed,1,50
pulled,1,50
trigger,1,50
begun,1,50
thrown,1,50
oooooo,1,50
matters,1,50
sends,1,50
shivers,1,50
spine,1,50
bodys,1,50
silhouetto,1,50
scaramouch,1,50
fandango,1,50
thunderbolts,1,50
very,1,50
frightening,1,50
galileo,1,50
figaro,1,50
magnifico,1,50
ohohoh,2,50 59
monstrosity,1,50
bismillah,1,50
mia,1,50
beelzebub,1,50
devil,1,50
oooo,1,50
anyone,2,50 63
guy,2,51 63
billie,1,51
eilish,1,51
2019,2,51 64
shirt,2,51 58
bloody,1,51
sleepin,1,51
tippy,1,51
toes,1,51
criminal,2,51 59
bruises,1,51
thank,1,51
cynical,1,51
puffed,1,51
girlfriend,1,51
seduce,1,51
dad,1,51
duh,1,51
mommy,1,51
likes,1,51
reads,1,51
lyrics,1,51
pity,1,51
men,1,51
bein,1,51
glad,1,51
scared,1,51
sees,1,51
wearing,1,51
cologne,1,51
imim,1,51
blueprint,1,52
uhh,1,52
listen,1,52
first,1,52
problem,1,52
whassup,1,52
niggaz,1,52
fed,1,52
cheddar,1,52
records,1,52
sto,1,52
fucks,1,52
spittin,1,52
rappers,1,52
predicted,1,52
exactly,2,52 53
mo,1,52
problems,1,52
carefully,1,52
faggots,1,52
athletes,1,52
yunguns,1,52
icegrillin,1,52
cost,1,52
grind,1,52
frontin,1,52
sensitive,1,52
thugs,1,52
hugs,1,52
tryin,2,52 61
mill,1,52
couple,1,52
chicks,1,52
e,1,52
hopefully,1,52
theyll,1,52
menage,1,52
garage,1,52
nice,1,52
cooked,1,52
clean,1,52
drawers,1,52
birdass,1,52
ruffle,1,52
waitin,1,52
wing,1,52
doin,1,52
wheres,1,52
fussin,1,52
grubbin,1,52
pack,1,52
oven,1,52
downfall,1,52
everytime,1,52
bounce,1,52
roundball,1,52
cock,1,52
pound,1,52
scrapper,1,52
nephews,1,52
lookin,2,52 62
dudes,1,52
characters,1,52
rapper,1,52
ninetysix,1,52
handle,1,52
biz,1,52
scramble,1,52
randall,1,52
cunningham,1,52
runnin,2,52 62
numbers,1,52
fam,1,52
jigga,1,52
held,1,52
summers,1,52
holla,1,52
church,1,52
richard,1,52
pryor,1,52
ike,1,52
tina,1,52
turner,1,52
bullshit,1,52
disrespected,1,52
successful,1,52
pull,1,52
boss,1,52
speculation,1,52
alla,1,52
males,1,52
jealous,1,52
female,1,52
trait,1,52
whatchu,1,52
push,1,52
dimes,1,52
expenses,1,52
bigger,1,52
place,2,52 53
hehehe,1,52
baggies,1,52
aggie,1,52
respect,1,52
illusion,1,53
funk/soul,1,53
hoping,1,53
aoh,1,53
ahah,1,53
emotions,1,53
everywhere,1,53
magic,1,53
feelings,1,53
ahillusion,1,53
putting,1,53
confusion,1,53
ahhhh,1,53
illusionyeah,1,53
confusionyeah,1,53
wham,1,54
jitterbug,1,54
boomboom,1,54
oohooh,1,54
send,1,54
skyhigh,1,54
yeahyeah,1,54
bangbangbang,1,54
somethings,1,54
bugging,1,54
sleeping,1,54
dreaming,1,54
shouldve,1,54
instead,1,54
hanging,1,54
yoyo,1,54
planning,1,54
grey,1,54
doris,1,54
flame,1,54
per,1,54
cruel,1,54
boomboomboomboom,1,54
oohaah,1,54
sam,1,55
smith,1,55
onenight,1,55
nights,1,55
emotional,1,55
gain,1,55
selfcontrol,1,55
works,2,55 57
creep,1,56
radiohead,1,56
alternative,1,56
pablo,1,56
angel,1,56
float,1,56
feather,1,56
weirdo,1,56
belong,1,56
hurts,1,56
notice,1,56
prayer,1,57
bon,1,57
jovi,1,57
1986,1,57
slippery,1,57
wet,1,57
ago,1,57
tommy,1,57
work,3,57 58 59
docks,1,57
unions,1,57
luck,1,57
gina,1,57
diner,1,57
brings,1,57
mmm,1,57
difference,1,57
ohoh,1,57
tommys,1,57
sixstring,1,57
hock,1,57
holding,1,57
cries,1,57
whispers,1,57
woahah,1,57
cheap,1,58
trick,1,58
color,1,58
beggin,1,58
beg,1,58
brand,1,58
early,1,58
cryin,1,58
dyin,1,58
2009,1,59
monster,1,59
ohohohohoh,1,59
ohohohoh,1,59
rah,1,59
rahahahah,1,59
roma,1,59
romama,1,59
oohlala,1,59
ugly,1,59
disease,1,59
drama,1,59
leatherstudded,1,59
sand,1,59
revenge,1,59
lovers,1,59
design,1,59
psycho,1,59
vertigo,1,59
shtick,1,59
rear,1,59
window,1,59
fashion,1,59
jveux,1,59
ton,1,59
amour,1,59
et,1,59
je,1,59
veux,1,59
ta,1,59
revanche,1,59
timberlake,1,60
trolls,1,60
electric,1,60
wavey,1,60
flyin,1,60
ceilin,1,60
zone,1,60
pocket,1,60
drops,1,60
phenomenally,1,60
lock,1,60
leavin,1,60
magical,1,60
rushin,1,60
believer,1,61
monkees,1,61
disappointment,1,61
trace,1,61
doubt,1,61
wild,1,62
steppenwolf,1,62
1968,1,62
ste,1,62
motor,1,62
adventure,1,62
meet,1,62
embrace,1,62
explode,1,62
smoky,1,62
thunder,1,62
natures,1,62
child,1,62
billy,1,63
joel,1,63
momma,1,63
whitebred,1,63
downtown,1,63
wakes,1,63
seen,1,63
tired,1,63
highclass,1,63
toys,1,63
choice,1,63
afford,1,63
pearls,1,63
walking,2,63 64
blinding,1,64
weeknd,1,64
synthwave,1,64
hours,1,64
withdrawals,1,64
citys,1,64
judge,1,64
clearly,1,64
blinded,1,64
drowning,1,64
overdrive,1,64
